X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.925,11.0,16.0,14.15,1449.32,19.45,20.53,0.4789697542533084,0.32704402515723247,0.171428571428573
9.925,11.0,16.075,13.85,1444.51,19.16,20.67,0.36531190926276136,0.23584905660377362,0.37142857142857405
9.925,11.0,16.075,13.925,1460.58,18.71,20.69,0.7450378071833653,0.09433962264150966,0.400000000000002
9.925,11.0,16.075,14.0,1442.51,19.23,20.66,0.3180529300567121,0.2578616352201259,0.3571428571428575
9.925,11.0,16.075,14.075,1449.52,19.55,20.51,0.4836956521739144,0.35849056603773605,0.14285714285714504
9.925,11.0,16.075,14.15,1450.07,19.33,20.52,0.49669187145557686,0.28930817610062837,0.1571428571428565
9.925,11.0,16.15,13.85,1443.1,19.06,20.7,0.3319943289224947,0.20440251572327,0.4142857142857135
9.925,11.0,16.15,13.925,1442.57,19.03,20.65,0.3194706994328923,0.19496855345911981,0.342857142857141
9.925,11.0,16.15,14.0,1461.3,18.45,20.64,0.7620510396975437,0.012578616352200991,0.3285714285714295
9.925,11.0,16.15,14.075,1449.41,19.26,20.5,0.48109640831758405,0.2672955974842772,0.1285714285714285
9.925,11.0,16.15,14.15,1449.67,19.27,20.46,0.48724007561437027,0.2704402515723269,0.07142857142857252
9.925,11.075,15.85,13.85,1439.88,20.32,20.93,0.25590737240076017,0.6006289308176102,0.742857142857143
9.925,11.075,15.85,13.925,1439.28,20.26,20.87,0.24172967863894218,0.5817610062893087,0.657142857142859
9.925,11.075,15.85,14.0,1435.94,20.38,20.81,0.16280718336484193,0.6194968553459117,0.57142857142857
9.925,11.075,15.85,14.075,1437.63,20.57,20.86,0.2027410207939548,0.679245283018868,0.6428571428571425
9.925,11.075,15.85,14.15,1436.83,20.8,20.81,0.1838374291115308,0.7515723270440254,0.57142857142857
9.925,11.075,15.924999999999999,13.85,1439.47,20.19,20.86,0.24621928166351817,0.5597484276729564,0.6428571428571425
9.925,11.075,15.924999999999999,13.925,1439.97,20.1,20.89,0.2580340264650305,0.5314465408805036,0.685714285714287
9.925,11.075,15.924999999999999,14.0,1436.09,20.23,20.82,0.1663516068052924,0.5723270440251573,0.5857142857142865
9.925,11.075,15.924999999999999,14.075,1437.19,20.24,20.79,0.19234404536862268,0.5754716981132071,0.542857142857142
9.925,11.075,15.924999999999999,14.15,1445.61,20.17,20.66,0.39130434782608625,0.5534591194968559,0.3571428571428575
9.925,11.075,16.0,13.85,1444.24,19.66,20.73,0.35893194706994513,0.39308176100628933,0.457142857142858
9.925,11.075,16.0,13.925,1440.14,20.04,20.76,0.26205103969754634,0.512578616352201,0.5000000000000026
9.925,11.075,16.0,14.0,1437.23,20.01,20.79,0.1932892249527428,0.5031446540880508,0.542857142857142
9.925,11.075,16.0,14.075,1437.22,20.03,20.76,0.19305293005671278,0.5094339622641513,0.5000000000000026
9.925,11.075,16.0,14.15,1446.99,19.78,20.57,0.4239130434782628,0.43081761006289343,0.228571428571429
9.925,11.075,16.075,13.85,1445.18,19.52,20.74,0.38114366729678956,0.3490566037735848,0.4714285714285695
9.925,11.075,16.075,13.925,1446.14,19.35,20.67,0.40382797731569403,0.29559748427673,0.37142857142857405
9.925,11.075,16.075,14.0,1436.22,19.96,20.71,0.16942344045368818,0.487421383647799,0.42857142857143005
