X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
19.41,139.2,1.73,0.29,2.64,2.08,1.58,14.81,-29.0,-216.28,70.87
20.64,140.0,1.92,0.21,1.47,2.22,1.51,14.78,-28.0,-213.9,75.51
16.79,132.7,1.47,0.08,3.21,2.02,1.51,10.55,-41.0,-150.08,90.64
19.74,139.2,1.66,0.3,2.64,2.16,1.66,12.62,-40.0,-173.82,84.12
23.73,114.6,2.67,0.09,0.97,2.07,1.55,14.24,-33.0,-204.05,77.72
23.27,103.6,0.58,0.42,3.21,2.38,1.74,14.69,-28.0,-210.65,76.56
19.49,134.3,3.01,0.07,0.59,2.4,1.76,14.85,-27.0,-217.06,76.06
22.05,129.9,2.03,0.1,0.61,2.3,1.55,14.16,-33.0,-202.03,81.97
23.36,135.9,3.0,0.69,0.68,2.13,1.54,14.47,-31.0,-208.1,78.01
22.48,134.3,1.23,0.39,2.56,2.11,1.51,14.66,-29.0,-212.01,74.51
23.55,139.4,2.36,0.95,1.24,2.35,1.85,14.72,-28.0,-220.33,75.54
19.13,111.7,3.42,0.06,0.96,2.24,1.74,14.15,-33.0,-203.08,77.14
19.88,95.6,2.05,0.77,2.07,2.01,1.51,14.72,-28.0,-207.11,78.17
16.35,136.9,1.57,0.93,0.65,2.35,1.85,14.68,-28.0,-202.74,88.97
22.11,133.0,1.37,0.34,0.75,2.53,1.58,12.76,-42.0,-168.07,92.53
20.54,122.6,0.5,0.38,2.28,2.5,1.94,14.49,-29.0,-207.06,81.56
18.43,116.9,1.46,0.31,2.4,2.13,1.51,14.53,-29.0,-202.54,80.99
23.12,134.3,1.17,0.64,2.76,2.14,1.5,14.84,-27.0,-215.12,73.27
19.25,104.6,1.43,0.14,2.72,2.12,1.62,14.72,-29.0,-213.73,70.63
19.36,101.0,1.5,0.34,0.86,2.06,1.55,12.71,-42.0,-156.37,90.53
23.16,136.3,0.67,0.92,1.66,2.39,1.73,14.67,-28.0,-215.33,77.73
21.95,128.4,0.69,0.37,2.72,2.16,1.5,12.72,-42.0,-164.57,93.8
22.94,121.9,3.0,0.64,0.69,2.07,1.55,14.34,-32.0,-204.01,79.41
22.46,137.8,0.66,0.25,3.09,2.18,1.51,14.78,-28.0,-210.87,75.33
23.64,118.7,1.51,0.42,1.0,2.35,1.72,14.77,-26.0,-219.5,74.38
